createTime,msgType,strContent,from
2024-01-03 09:12:00,1,早上好，今天记得带伞,wxid_demo_a
2024-01-03 09:12:05,1,好的，我的手机 13812345678 记一下,wxid_demo_a
2024-01-05 22:30:00,1,晚安，明天见,wxid_demo_a
2024-01-03 09:12:00,1,早上好，今天记得带伞,wxid_demo_a
2024-02-14 18:00:00,1,情人节快乐！爱你,wxid_demo_a
2024-02-15 10:00:00,3,,wxid_demo_a
2024-03-01 08:00:00,1,身份证 11010119900307789X 已发送,wxid_demo_b
2024-03-02 20:15:00,1,方案发邮箱 test@example.com 了,wxid_demo_b
2025-06-01 12:00:00,1,好久不见，最近怎么样,wxid_demo_b
2024-04-01 10:00:00,1,大家周末有空吗,chatroom_grp_demo
2024-04-01 10:05:00,1,周末可以，去哪里,chatroom_grp_demo
